City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,parambu,-6.2111,-40.6944,25.69,38,9,1.36,BR,2023-11-13
175,kathmandu,27.7167,85.3167,12.12,87,20,1.03,NP,2023-11-13
176,hawaiian paradise park,19.5933,-154.9731,27.73,70,20,2.57,US,2023-11-13
177,kidal,18.4411,1.4078,23.51,16,0,4.72,ML,2023-11-13
178,kulunda,52.566,78.9385,2.26,94,94,3.58,RU,2023-11-13
179,iquitos,-3.7481,-73.2472,27.02,78,75,2.57,PE,2023-11-13
180,alofi,-19.0595,-169.9187,25.94,83,100,6.17,NU,2023-11-13
181,saint-pierre,-21.3393,55.4781,23.09,60,40,3.09,RE,2023-11-13
182,collinsville,38.6703,-89.9846,12.96,46,0,0.0,US,2023-11-13
183,gisborne,-38.6533,178.0042,20.53,42,96,5.15,NZ,2023-11-13
184,wenzhou,27.9994,120.6668,15.07,40,54,1.0,CN,2023-11-13
185,sola,-13.8833,167.55,25.96,74,100,8.99,VU,2023-11-13
186,talas,38.6908,35.5538,6.37,70,75,0.51,TR,2023-11-13
187,stephenville,32.2207,-98.2023,14.07,64,100,1.54,US,2023-11-13
188,faya-largeau,17.9257,19.1043,24.57,20,82,11.65,TD,2023-11-13
189,katsuren-haebaru,26.3369,127.8719,23.43,47,20,4.12,JP,2023-11-13
190,mount isa,-20.7333,139.5,37.87,14,0,5.14,AU,2023-11-13
191,nadi,-17.8,177.4167,31.0,62,75,7.72,FJ,2023-11-13
192,kikwit,-5.041,18.8162,20.65,91,74,0.88,CD,2023-11-13
193,san antonio de pale,-1.4014,5.6325,26.13,80,25,3.53,GQ,2023-11-13
194,spirovo,57.419,34.9766,1.02,97,100,3.75,RU,2023-11-13
195,gornozavodsk,58.3758,58.3211,1.8,98,100,4.16,RU,2023-11-13
196,nuuk,64.1835,-51.7216,-3.66,86,100,6.71,GL,2023-11-13
197,bovalino,38.149,16.174,19.94,79,43,3.82,IT,2023-11-13
198,nur-sultan,51.1801,71.446,0.97,100,100,7.0,KZ,2023-11-13
199,port elizabeth,-33.918,25.5701,16.16,86,100,4.12,ZA,2023-11-13
200,mao,39.8885,4.2658,17.31,100,0,3.09,ES,2023-11-13
201,al ain city,24.1917,55.7606,23.79,16,0,4.12,AE,2023-11-13
